image_name,image,RS
dataset/origimg/org/image_open7.jpg,139,0.6884368288725617
dataset/origimg/org/image_open8.jpg,19,0.6406333302213555
dataset/origimg/org/image_top11.jpg,5,0.626270332214496
dataset/origimg/org/image_top14.jpg,91,0.6296310233278588
dataset/origimg/org/image_top16.jpg,18,0.6102986175791487
dataset/origimg/org/image_open17.jpg,25,0.6745841419946415
dataset/origimg/org/image_top23.jpg,82,0.6197138984498124
dataset/origimg/org/image_open24.jpg,10,0.6703021206460237
dataset/origimg/org/image_open25.jpg,115,0.6982022612739693
dataset/origimg/org/image_top27.jpg,145,0.6237134431982929
dataset/origimg/org/image_top28.jpg,47,0.601693072523138
dataset/origimg/org/image_top30.jpg,74,0.6126887517601126
dataset/origimg/org/image_top34.jpg,122,0.5678800704103704
dataset/origimg/org/image_top35.jpg,103,0.5526788124063864
dataset/origimg/org/image_open38.jpg,29,0.661396940761151
dataset/origimg/org/image_open40.jpg,146,0.6760664832246427
dataset/origimg/org/image_top42.jpg,142,0.6061832102510445
dataset/origimg/org/image_open43.jpg,20,0.6340518157071697
dataset/origimg/org/image_top43.jpg,109,0.6589543795953671
dataset/origimg/org/image_open44.jpg,22,0.6694914613935193
dataset/origimg/org/image_top45.jpg,41,0.564886476554114
dataset/origimg/org/image_open45.jpg,8,0.5880487984760183
dataset/origimg/org/image_open46.jpg,86,0.648618779473978
dataset/origimg/org/image_top46.jpg,75,0.6025970176635511
dataset/origimg/org/image_top47.jpg,61,0.6144653720504236
dataset/origimg/org/image_open47.jpg,134,0.5834520041585542
dataset/origimg/org/image_top48.jpg,96,0.6123619321242482
dataset/origimg/org/image_open48.jpg,67,0.6132473346269092
dataset/origimg/org/image_top49.jpg,6,0.5758024823877139
dataset/origimg/org/image_open49.jpg,108,0.6656166036557163
dataset/origimg/org/image_top50.jpg,79,0.6284938607529738
dataset/origimg/org/image_open50.jpg,51,0.5860575759799314
dataset/origimg/org/image_open51.jpg,125,0.6044916293302002
dataset/origimg/org/image_top51.jpg,72,0.6071245770102287
dataset/origimg/org/image_open52.jpg,104,0.6656652504783134
dataset/origimg/org/image_top52.jpg,127,0.6550600507525234
dataset/origimg/org/image_top53.jpg,143,0.5805852466556687
dataset/origimg/org/image_open53.jpg,92,0.6315450018056532
dataset/origimg/org/image_top54.jpg,32,0.6208646763616208
dataset/origimg/org/image_open54.jpg,63,0.6296018392342105
dataset/origimg/org/image_open55.jpg,34,0.5854630743621522
dataset/origimg/org/image_top55.jpg,30,0.583487994649303
dataset/origimg/org/image_top56.jpg,62,0.5753287027712884
dataset/origimg/org/image_open56.jpg,2,0.6688512787198018
dataset/origimg/org/image_open57.jpg,13,0.6453670502123209
dataset/origimg/org/image_top57.jpg,33,0.6662446716147284
dataset/origimg/org/image_top58.jpg,39,0.6105521640715627
dataset/origimg/org/image_open58.jpg,37,0.5864965191359321
dataset/origimg/org/image_top62.jpg,132,0.6098183108524136
dataset/origimg/org/image_top88.jpg,77,0.6720803931310863
dataset/origimg/org/image_top96.jpg,55,0.6567384094326301
dataset/origimg/org/image_top102.jpg,68,0.6805031854299293
dataset/origimg/org/image_top110.jpg,97,0.6396140274531988
dataset/origimg/org/image_top113.jpg,141,0.6361511759365485
dataset/origimg/org/image_top120.jpg,40,0.6560771905887789
dataset/origimg/org/image_top133.jpg,152,0.6174072795758186
dataset/origimg/org/image_top141.jpg,9,0.6552803903174927
dataset/origimg/org/image_top145.jpg,116,0.6644876651870902
dataset/origimg/org/image_top148.jpg,15,0.614019447769093
dataset/origimg/org/image_top156.jpg,144,0.648544503119799
dataset/origimg/org/image_top158.jpg,14,0.6688187738105971
dataset/origimg/org/image_top175.jpg,35,0.61497892917826
dataset/origimg/org/image_top179.jpg,117,0.633444520415496
dataset/origimg/org/image_top184.jpg,76,0.6618594825118903
dataset/origimg/org/image_top187.jpg,93,0.6669357377769674
dataset/origimg/org/image_top189.jpg,131,0.6319150042429817
dataset/origimg/org/image_top190.jpg,99,0.6163994052989834
